,model,window,lr,epsiode_reward
0,CNN,48,2e-05,"[0.004562843563606277, 0.06937780233217396, 0.19302826930484965, 0.32829134402766696, 0.44183598271911595, 0.602149756637232, 0.7908632435163927, 0.9041907303621297, 0.9959724367733531, 1.0428936081949116, 1.0628907328673003, 1.0794949843721993, 1.0640995345999347, 1.058112806233574, 1.0642056413857088, 1.090773832126518, 1.1144206635001699, 1.10092693505174, 1.10485182985733, 1.1064702204562331]"
1,CNN,48,9e-05,"[0.013365554631543078, 0.36082045563014786, 0.5518152159161578, 0.6495799620858195, 0.7461413107318312, 0.8169740816259718, 0.8548927960628911, 0.8645320650391076, 0.8797823268535001, 0.9043314044134306, 0.9169824605499772, 0.8937759020443237, 0.938858592229356, 0.9042208021684992, 0.9039771780873133, 0.9406841856838182, 1.0082327042032628, 0.953991605872256, 0.9092910681614581, 0.9260887200354372]"
2,CNN,48,0.0002,"[0.21603213291501838, 1.6409162370457169, 1.642397713493049, 1.6432574947765652, 1.6419051825724462, 1.6488044272654714, 1.6559923670864793, 1.65149506553659, 1.6587579403314885, 1.6603695746522165, 1.6500204932210594, 1.6596721911757268, 1.6581282148150163, 1.6600936616410034, 1.6619318855046061, 1.6605910602405343, 1.6617028370699116, 1.663211685519248, 1.6622393768105463, 1.6640929329430256]"
3,CNN,96,2e-05,"[0.01714502435045504, 0.9565697438927515, 0.964604095386252, 0.9604790806578878, 0.9164512896135129, 0.8923365070909989, 0.8815303880629052, 0.8381868609039257, 0.8151546053237552, 0.8483459355084744, 0.9129862591633204, 0.9021812937491406, 0.8714256106040031, 0.9277352233878694, 0.9418443535692622, 0.8951960740409601, 0.9068239544736437, 0.9349978383598829, 0.9362072079718701, 0.933868282781375]"
